Ref_No,VM_ID,ImgSize,VM_Memory,MIPs,Bandwidth,PES
HEFT00028,5,15424,1348,1189.0,1600,2
HEFT00028,6,12988,936,1748.0,1767,1
HEFT00029,0,10124,1157,1816.0,1808,2
HEFT00029,1,11860,627,1594.0,1274,3
HEFT00029,2,17686,1103,1804.0,1192,2
HEFT00029,3,11191,573,1420.0,1961,1
HEFT00029,4,16310,703,1534.0,1017,1
HEFT00029,5,19159,576,1110.0,1994,3
HEFT00029,6,18820,1385,1721.0,1455,3
HEFT00029,7,19410,1266,1256.0,1354,1
HEFT00030,0,16961,969,1949.0,1710,3
HEFT00030,1,19814,857,1959.0,1140,3
HEFT00030,2,19161,608,1346.0,1793,3
HEFT00030,3,19005,1274,1229.0,1767,3
HEFT00030,4,11870,949,1446.0,1484,1
HEFT00030,5,16504,843,1714.0,1598,2
HEFT00030,6,16961,1444,1884.0,1189,1
HEFT00030,7,15289,926,1673.0,1225,3
HEFT00030,8,12038,882,1242.0,1244,2
HEFT00031,0,16215,810,1929.0,1863,3
HEFT00031,1,16939,971,1010.0,1468,2
HEFT00031,2,17465,1351,1953.0,1998,1
HEFT00031,3,16373,1048,1133.0,1795,2
HEFT00031,4,13181,514,1162.0,1922,1
HEFT00031,5,13968,1531,1550.0,1643,1
HEFT00031,6,16921,557,1908.0,1975,1
HEFT00031,7,15295,532,1803.0,1173,3
HEFT00031,8,17466,861,1325.0,1498,2
HEFT00031,9,12257,961,1617.0,1744,1
HEFT00032,0,13118,1112,1440.0,1814,1
HEFT00032,1,17883,1125,1927.0,1793,3
HEFT00032,2,12904,1094,1764.0,1814,2
HEFT00032,3,17042,1285,1873.0,1087,3
HEFT00032,4,11287,784,1530.0,1001,2
HEFT00032,5,14685,1120,1141.0,1565,3
HEFT00032,6,16039,820,1217.0,1172,2
HEFT00032,7,17245,1424,1186.0,1152,2
HEFT00032,8,16066,1280,1475.0,1122,3
HEFT00033,0,12662,609,1006.0,1902,3
HEFT00033,1,13272,673,1617.0,1187,3
HEFT00033,2,17046,996,1504.0,1186,2
HEFT00033,3,14640,802,1838.0,1971,3
HEFT00033,4,17198,666,1485.0,1596,3
HEFT00033,5,18278,1481,1571.0,1007,1
HEFT00033,6,16962,1219,1751.0,1193,1
HEFT00034,0,13884,957,1290.0,1767,1
HEFT00034,1,15032,1461,1487.0,1006,3
HEFT00034,2,11950,1261,1971.0,1810,2
HEFT00034,3,15936,589,1729.0,1153,3
HEFT00034,4,19983,1227,1373.0,1778,2
HEFT00034,5,17147,537,1936.0,1361,3
HEFT00034,6,16292,868,1346.0,1435,1
HEFT00034,7,19160,1322,1641.0,1529,3
HEFT00035,0,10855,1002,1471.0,1277,3
HEFT00035,1,16387,916,1042.0,1263,1
HEFT00035,2,17325,1177,1885.0,1557,3
HEFT00035,3,11999,1219,1168.0,1769,3
HEFT00035,4,16396,1197,1946.0,1968,1
HEFT00035,5,17196,707,1808.0,1417,1
HEFT00035,6,17327,1445,1013.0,1643,1
HEFT00035,7,14038,969,1066.0,1541,3
HEFT00035,8,18778,1256,1846.0,1626,2
HEFT00036,0,17879,529,1053.0,1499,3
HEFT00036,1,17585,685,1659.0,1582,3
HEFT00036,2,19881,1245,1031.0,1169,1
HEFT00036,3,15644,1142,1913.0,1685,3
HEFT00036,4,17033,1387,1370.0,1407,2
HEFT00036,5,10577,1323,1868.0,1495,1
HEFT00036,6,10908,1124,1148.0,1918,1
HEFT00037,0,15385,1135,1155.0,1252,2
HEFT00037,1,13978,978,1073.0,1705,1
HEFT00037,2,11515,731,1365.0,1354,3
HEFT00037,3,18945,722,1279.0,1988,1
HEFT00037,4,13435,800,1126.0,1272,3
HEFT00037,5,14668,890,1077.0,1174,1
HEFT00037,6,16193,605,1711.0,1795,2
HEFT00038,0,13178,1200,1024.0,1290,3
HEFT00038,1,16363,1166,1144.0,1491,3
HEFT00038,2,12212,854,1679.0,1197,2
HEFT00038,3,16013,782,1515.0,1809,3
HEFT00038,4,15388,721,1524.0,1429,3
HEFT00038,5,15700,1182,1490.0,1568,1
HEFT00038,6,13976,1427,1721.0,1592,2
HEFT00038,7,17163,846,1031.0,1980,3
HEFT00039,0,17107,1018,1803.0,1515,2
HEFT00039,1,11086,819,1592.0,1442,3
HEFT00039,2,12582,909,1221.0,1642,2
HEFT00039,3,17659,1396,1340.0,1290,1
HEFT00039,4,13155,546,1410.0,1677,1
HEFT00039,5,13882,684,1497.0,1206,3
HEFT00039,6,14861,1396,1604.0,1862,1
HEFT00040,0,16718,988,1080.0,1281,3
HEFT00040,1,15090,1001,1599.0,1175,2
HEFT00040,2,10480,668,1992.0,1926,2
HEFT00040,3,15367,1101,1283.0,1663,3
HEFT00040,4,14654,755,1815.0,1928,2
HEFT00040,5,14040,1457,1890.0,1576,1
HEFT00040,6,10868,751,1297.0,1171,3
HEFT00040,7,12446,1440,1343.0,1397,1
HEFT00040,8,14419,1496,1700.0,1719,3
HEFT00040,9,15441,1022,1138.0,1423,3
HEFT00040,10,19344,909,1922.0,1733,1
HEFT00041,0,12469,914,1712.0,1667,3
HEFT00041,1,11834,1132,1410.0,1668,3
HEFT00041,2,16026,881,1015.0,1210,3
HEFT00041,3,10905,1092,1441.0,1406,1
HEFT00041,4,15298,541,1525.0,1060,2
HEFT00041,5,12541,521,1626.0,1035,3
HEFT00041,6,19364,897,1984.0,1126,2
HEFT00041,7,11073,1499,1486.0,1454,1
HEFT00041,8,19762,1158,1145.0,1353,2
HEFT00041,9,19910,725,1572.0,1730,2
HEFT00041,10,15017,1021,1430.0,1907,3
HEFT00042,0,14320,1515,1135.0,1182,2
HEFT00042,1,13738,642,1054.0,1759,1
HEFT00042,2,11188,746,1220.0,1465,3
HEFT00042,3,18963,793,1656.0,1239,2
HEFT00042,4,11402,1274,1796.0,1347,3
HEFT00042,5,14825,1035,1303.0,1310,3
HEFT00042,6,19486,751,1492.0,1920,3
HEFT00042,7,13975,1448,1835.0,1751,3
HEFT00043,0,12378,1237,1921.0,1799,2
HEFT00043,1,11580,749,1494.0,1433,2
HEFT00043,2,13803,832,1479.0,1086,1
HEFT00043,3,13302,996,1652.0,1978,2
HEFT00043,4,10967,654,1455.0,1345,3
HEFT00043,5,12121,709,1861.0,1627,1
HEFT00043,6,12113,1271,1013.0,1737,3
HEFT00043,7,16804,1452,1614.0,1428,2
HEFT00044,0,19745,576,1009.0,1870,1
HEFT00044,1,19307,832,1901.0,1665,3
HEFT00044,2,15728,1446,1103.0,1325,3
HEFT00044,3,15535,723,1907.0,1590,1
HEFT00044,4,17139,691,1266.0,1531,3
HEFT00044,5,12481,588,1439.0,1268,1
HEFT00044,6,13420,1432,1162.0,1337,1
HEFT00044,7,15007,870,1353.0,1033,3
HEFT00045,0,16121,967,1951.0,1689,1
HEFT00045,1,19345,1214,1709.0,1606,3
HEFT00045,2,15887,859,1826.0,1501,1
HEFT00045,3,13407,753,1579.0,1094,1
HEFT00045,4,18724,657,1092.0,1235,1
HEFT00045,5,12936,1253,1785.0,1715,3
HEFT00045,6,18670,1131,1886.0,1956,3
HEFT00045,7,14577,995,1376.0,1677,3
HEFT00045,8,19996,1426,1374.0,1923,1
HEFT00045,9,16360,1423,1681.0,1131,1
HEFT00045,10,15011,1470,1433.0,1668,2
HEFT00046,0,10683,702,1888.0,1101,3
HEFT00046,1,16257,1088,1155.0,1238,1
HEFT00046,2,13008,712,1897.0,1861,1
HEFT00046,3,17501,1143,1293.0,1220,3
HEFT00046,4,16409,1069,1579.0,1323,2
HEFT00046,5,11146,1513,1748.0,1990,3
HEFT00046,6,14550,1528,1334.0,1260,1
HEFT00046,7,10546,1289,1792.0,1733,3
HEFT00046,8,14621,708,1518.0,1096,3
HEFT00046,9,16314,643,1375.0,1403,3
HEFT00046,10,13568,787,1636.0,1662,1
HEFT00047,0,13084,872,1498.0,1176,1
HEFT00047,1,19585,894,1105.0,1599,1
HEFT00047,2,11494,734,1647.0,1556,3
HEFT00047,3,17596,774,1192.0,1904,1
HEFT00047,4,16834,1204,1329.0,1013,1
HEFT00047,5,10036,1289,1957.0,1809,3
HEFT00047,6,16164,1379,1303.0,1753,2
HEFT00047,7,19330,573,1675.0,1587,2
HEFT00048,0,17127,1189,1377.0,1736,1
HEFT00048,1,18435,1260,1576.0,1509,2
HEFT00048,2,10337,1099,1096.0,1508,2
HEFT00048,3,13740,1505,1013.0,1601,2
HEFT00048,4,11664,1436,1534.0,1923,3
HEFT00048,5,19735,1498,1840.0,1637,3
HEFT00048,6,19063,972,1828.0,1184,3
HEFT00048,7,15156,854,1731.0,1053,2
HEFT00048,8,16060,1379,1391.0,1479,2
HEFT00049,0,12115,840,1962.0,1612,3
HEFT00049,1,15979,864,1451.0,1060,3
HEFT00049,2,11402,776,1697.0,1631,2
HEFT00049,3,15713,999,1474.0,1815,1
HEFT00049,4,11864,1520,1115.0,1000,3
HEFT00049,5,13604,926,1850.0,1787,3
HEFT00049,6,12329,1009,1904.0,1056,2
HEFT00049,7,18883,814,1721.0,1897,3
HEFT00049,8,11650,1071,1072.0,1181,1
HEFT00050,0,13945,1149,1883.0,1841,1
HEFT00050,1,18321,1195,1628.0,1396,2
HEFT00050,2,14060,994,1320.0,1845,1
HEFT00050,3,14062,1046,1372.0,1413,2
HEFT00050,4,19607,524,1316.0,1853,3
HEFT00050,5,14404,694,1150.0,1004,3
HEFT00050,6,17056,1302,1570.0,1581,2
HEFT00050,7,14709,773,1966.0,1285,1
HEFT00050,8,13862,683,1835.0,1908,3
HEFT00051,0,16174,1044,1931.0,1071,2
HEFT00051,1,18256,559,1918.0,1563,2
HEFT00051,2,15660,1209,1749.0,1331,1
HEFT00051,3,15093,649,1346.0,1277,2
HEFT00051,4,11383,637,1531.0,1860,1
HEFT00051,5,16428,784,1450.0,1594,2
HEFT00051,6,18647,1071,1977.0,1647,1
HEFT00051,7,13382,1038,1667.0,1001,2
HEFT00051,8,11066,815,1749.0,1729,1
HEFT00051,9,18282,758,1342.0,1790,2
HEFT00051,10,17373,793,1836.0,1063,3
HEFT00052,0,17039,1164,1287.0,1643,1
HEFT00052,1,18634,1027,1550.0,1903,1
HEFT00052,2,13613,1363,1083.0,1109,1
HEFT00052,3,19709,529,1238.0,1450,1
HEFT00052,4,11258,1527,1471.0,1673,3
HEFT00052,5,10674,1420,1516.0,1660,3
HEFT00052,6,18051,567,1454.0,1553,2
HEFT00052,7,15739,555,1246.0,1661,3
HEFT00052,8,12871,754,1891.0,1017,2
HEFT00052,9,16654,794,1423.0,1170,3
HEFT00052,10,10528,625,1037.0,1376,1
HEFT00053,0,10524,1204,1616.0,1450,2
HEFT00053,1,17328,1057,1388.0,1053,1
HEFT00053,2,12783,1113,1210.0,1244,3
HEFT00053,3,16188,795,1050.0,1482,2
HEFT00053,4,12307,954,1909.0,1013,1
HEFT00053,5,15180,1510,1303.0,1449,1
HEFT00053,6,13982,974,1693.0,1702,1
HEFT00054,0,10405,917,1904.0,1265,1
HEFT00054,1,12345,1351,1511.0,1096,3
HEFT00054,2,10022,1508,1299.0,1408,1
HEFT00054,3,16074,921,1613.0,1229,2
HEFT00054,4,18429,1462,1011.0,1225,1
HEFT00054,5,12349,1401,1842.0,1919,3
HEFT00054,6,10643,1347,1756.0,1276,1
HEFT00054,7,15984,1191,1771.0,1838,3
HEFT00054,8,12849,957,1803.0,1277,1
HEFT00055,0,15845,1223,1888.0,1995,3
HEFT00055,1,14015,574,1407.0,1218,3
HEFT00055,2,12849,835,1914.0,1165,3
HEFT00055,3,13425,1217,1825.0,1813,3
HEFT00055,4,19840,1252,1770.0,1183,1
HEFT00055,5,11822,1452,1114.0,1252,1
HEFT00055,6,15604,874,1204.0,1993,2
HEFT00055,7,19953,1101,1833.0,1304,2
HEFT00055,8,16712,816,1975.0,1328,1
HEFT00055,9,17297,1038,1113.0,1289,3
HEFT00055,10,14933,673,1386.0,1844,2
HEFT00056,0,11583,1279,1204.0,1976,1
HEFT00056,1,12332,1137,1029.0,1378,3
HEFT00056,2,17761,1227,1558.0,1389,1
HEFT00056,3,10428,936,1124.0,1932,3
HEFT00056,4,10271,1527,1800.0,1900,2
HEFT00056,5,17216,1295,1786.0,1700,2
HEFT00056,6,19265,1264,1840.0,1445,3
HEFT00056,7,12826,1220,1661.0,1877,1
HEFT00057,0,17753,667,1639.0,1700,1
HEFT00057,1,19563,1170,1060.0,1175,3
HEFT00057,2,15304,881,1308.0,1481,2
HEFT00057,3,14002,646,1668.0,1356,1
HEFT00057,4,14601,651,1005.0,1616,2
HEFT00057,5,12272,958,1374.0,1907,2
HEFT00057,6,11191,868,1071.0,1973,3
HEFT00058,0,16823,863,1489.0,1397,1
HEFT00058,1,15011,869,1814.0,1852,1
HEFT00058,2,15468,617,1171.0,1409,2
HEFT00058,3,12623,759,1191.0,1739,1
HEFT00058,4,12342,1456,1123.0,1567,1
HEFT00058,5,16291,812,1592.0,1970,3
HEFT00058,6,15938,591,1478.0,1959,3
HEFT00058,7,17047,571,1514.0,1932,1
HEFT00058,8,13574,528,1552.0,1707,2
HEFT00058,9,13186,1268,1094.0,1857,3
HEFT00058,10,18071,842,1715.0,1479,1
HEFT00059,0,15455,861,1992.0,1933,2
HEFT00059,1,15070,1488,1862.0,1345,2
HEFT00059,2,15122,805,1370.0,1715,2
HEFT00059,3,18114,1237,1439.0,1785,1
HEFT00059,4,11880,738,1405.0,1599,3
HEFT00059,5,14633,690,1680.0,1202,2
HEFT00059,6,19897,1379,1446.0,1820,2
HEFT00059,7,16268,924,1719.0,1876,1
HEFT00059,8,18333,1367,1857.0,1646,3
HEFT00059,9,11589,942,1908.0,1666,3
HEFT00059,10,14513,1458,1770.0,1976,3
HEFT00060,0,17633,911,1452.0,1992,2
HEFT00060,1,10627,787,1155.0,1123,2
HEFT00060,2,14259,828,1136.0,1801,2
HEFT00060,3,14737,879,1670.0,1240,3
HEFT00060,4,12545,698,1389.0,1147,3
HEFT00060,5,11641,1515,1145.0,1034,2
HEFT00060,6,12145,1361,1434.0,1784,3
HEFT00061,0,18352,738,1187.0,1532,1
HEFT00061,1,19101,1076,1843.0,1468,1
HEFT00061,2,15950,888,1982.0,1627,2
HEFT00061,3,11200,1309,1053.0,1478,3
HEFT00061,4,19492,997,1608.0,1339,3
HEFT00061,5,10503,1319,1637.0,1272,2
HEFT00061,6,17540,625,1222.0,1098,1
HEFT00062,0,15086,1518,1106.0,1043,1
HEFT00062,1,15702,578,1203.0,1185,1
HEFT00062,2,10365,1326,1362.0,1881,3
HEFT00062,3,19538,843,1672.0,1580,1
HEFT00062,4,17154,571,1844.0,1461,3
HEFT00062,5,16335,1520,1690.0,1600,1
HEFT00062,6,14236,705,1613.0,1570,2
HEFT00063,0,11817,961,1439.0,1408,3
HEFT00063,1,15613,708,1270.0,1198,1
HEFT00063,2,16837,1087,1001.0,1486,2
HEFT00063,3,15308,1132,1455.0,1294,3
HEFT00063,4,10034,1483,1649.0,1939,2
HEFT00063,5,14813,700,1916.0,1060,1
HEFT00063,6,11737,772,1348.0,1257,3
HEFT00063,7,14052,1128,1465.0,1639,3
HEFT00064,0,14754,1535,1883.0,1616,2
HEFT00064,1,14304,953,1446.0,1068,1
HEFT00064,2,19421,1207,1310.0,1990,3
HEFT00064,3,11728,1020,1260.0,1105,3
HEFT00064,4,16817,1191,1450.0,1918,1
HEFT00064,5,10924,802,1320.0,1055,2
HEFT00064,6,13445,1222,1442.0,1001,3
HEFT00064,7,16584,1050,1689.0,1318,3
HEFT00064,8,15083,1437,1906.0,1956,3
HEFT00065,0,17221,758,1574.0,1513,1
HEFT00065,1,13496,1311,1701.0,1196,1
HEFT00065,2,13377,1236,1901.0,1687,1
HEFT00065,3,15436,1319,1389.0,1767,2
HEFT00065,4,14785,1436,1742.0,1553,1
HEFT00065,5,12044,862,1227.0,1664,2
HEFT00065,6,15967,798,1946.0,1965,3
HEFT00065,7,12275,731,1307.0,1179,2
HEFT00065,8,10375,1068,1453.0,1109,3
HEFT00065,9,19290,1148,1227.0,1743,2
HEFT00065,10,12021,1414,1598.0,1628,1
HEFT00066,0,12470,1488,1197.0,1204,2
HEFT00066,1,10624,605,1444.0,1200,3
HEFT00066,2,14786,839,1680.0,1614,2
HEFT00066,3,13595,1045,1794.0,1758,2
HEFT00066,4,17382,1261,1681.0,1751,3
HEFT00066,5,19550,755,1744.0,1924,2
HEFT00066,6,13417,957,1012.0,1496,1
HEFT00066,7,10099,910,1525.0,1943,3
HEFT00066,8,19097,584,1716.0,1069,1
HEFT00067,0,18751,1254,1246.0,1982,3
HEFT00067,1,14207,912,1518.0,1053,1
HEFT00067,2,16863,1037,1290.0,1683,2
HEFT00067,3,13014,1467,1447.0,1493,1
HEFT00067,4,16492,898,1472.0,1514,1
HEFT00067,5,14998,1291,1194.0,1245,3
HEFT00067,6,18883,1235,1234.0,1306,3
HEFT00067,7,14036,830,1278.0,1419,3
HEFT00067,8,11489,845,1026.0,1607,3
HEFT00067,9,14312,1022,1661.0,1239,2
HEFT00067,10,11088,962,1815.0,1937,1
HEFT00068,0,13700,556,1418.0,1877,3
HEFT00068,1,16989,1310,1576.0,1203,3
HEFT00068,2,10369,573,1933.0,1934,1
HEFT00068,3,10168,980,1254.0,1422,2
HEFT00068,4,10265,1114,1168.0,1289,2
HEFT00068,5,15311,843,1339.0,1615,1
HEFT00068,6,12108,923,1336.0,1831,3
HEFT00068,7,18885,629,1539.0,1672,2
HEFT00068,8,12050,823,1316.0,1132,2
HEFT00069,0,19807,1486,1537.0,1613,1
HEFT00069,1,10018,1407,1732.0,1549,1
HEFT00069,2,18086,998,1709.0,1782,2
HEFT00069,3,11516,1272,1726.0,1786,3
HEFT00069,4,19874,1124,1668.0,1727,2
HEFT00069,5,14565,796,1880.0,1397,3
HEFT00069,6,14935,1115,1188.0,1770,3
HEFT00069,7,19788,1088,1634.0,1907,1
HEFT00069,8,10640,1219,1546.0,1560,1
HEFT00069,9,14397,1184,1943.0,1851,1
HEFT00070,0,17460,614,1646.0,1383,3
HEFT00070,1,18327,1338,1821.0,1399,2
HEFT00070,2,19455,866,1635.0,1766,2
HEFT00070,3,12262,1504,1147.0,1085,2
HEFT00070,4,12379,680,1511.0,1992,3
HEFT00070,5,15718,1027,1497.0,1599,3
HEFT00070,6,11780,887,1230.0,1395,2
HEFT00071,0,15278,1297,1786.0,1802,3
HEFT00071,1,16511,747,1778.0,1096,2
HEFT00071,2,14937,596,1842.0,1168,1
HEFT00071,3,16756,1186,1837.0,1342,3
HEFT00071,4,17371,1256,1203.0,1047,3
HEFT00071,5,14823,1508,1621.0,1011,2
HEFT00071,6,14449,574,1827.0,1037,1
HEFT00071,7,13195,784,1352.0,1658,1
HEFT00071,8,19822,1452,1629.0,1461,3
HEFT00071,9,11406,1176,1276.0,1608,3
HEFT00072,0,19218,1252,1201.0,1044,1
HEFT00072,1,18766,613,1560.0,1280,2
HEFT00072,2,17361,630,1019.0,1364,2
HEFT00072,3,15862,1399,1154.0,1333,1
HEFT00072,4,10174,583,1510.0,1947,2
HEFT00072,5,17737,1190,1138.0,1581,2
HEFT00072,6,14433,1220,1995.0,1002,2
HEFT00072,7,12363,1081,1106.0,1385,2
HEFT00072,8,14325,857,1434.0,1041,1
HEFT00072,9,19779,704,1555.0,1886,1
HEFT00072,10,13943,880,1347.0,1008,2
HEFT00073,0,11430,1257,1651.0,1623,1
HEFT00073,1,13190,1472,1886.0,1027,1
HEFT00073,2,15491,1270,1188.0,1444,2
HEFT00073,3,13202,1015,1996.0,1355,3
HEFT00073,4,12668,665,1732.0,1318,2
HEFT00073,5,19411,1387,1981.0,1789,2
HEFT00073,6,13739,1240,1530.0,1180,1
HEFT00074,0,13980,1481,1947.0,1247,2
HEFT00074,1,12951,640,1507.0,1603,2
HEFT00074,2,14235,594,1423.0,1244,3
HEFT00074,3,13937,932,1093.0,1701,2
HEFT00074,4,10545,887,1248.0,1820,3
HEFT00074,5,13602,1365,1989.0,1983,3
HEFT00074,6,11594,796,1220.0,1036,3
HEFT00074,7,15405,1460,1414.0,1181,3
HEFT00074,8,16263,915,1047.0,1953,3
HEFT00074,9,16979,1269,1733.0,1063,3
HEFT00074,10,12105,834,1290.0,1729,3
HEFT00075,0,16723,1136,1501.0,1681,1
HEFT00075,1,13106,730,1728.0,1335,3
HEFT00075,2,10504,827,1740.0,1387,3
HEFT00075,3,17917,1308,1692.0,1476,1
HEFT00075,4,12724,931,1522.0,1948,2
HEFT00075,5,12755,1191,1031.0,1972,3
HEFT00075,6,10999,567,1755.0,1217,2
HEFT00076,0,12168,593,1736.0,1285,3
HEFT00076,1,18243,1368,1642.0,1895,3
HEFT00076,2,18604,1474,1915.0,1226,3
HEFT00076,3,14248,1389,1868.0,1071,2
HEFT00076,4,14839,569,1229.0,1686,1
HEFT00076,5,19706,761,1147.0,1635,3
HEFT00076,6,11491,1005,1929.0,1631,1
HEFT00076,7,12335,747,1295.0,1910,2
HEFT00076,8,18073,602,1689.0,1422,1
HEFT00077,0,10143,622,1290.0,1350,2
HEFT00077,1,10549,1128,1831.0,1453,1
HEFT00077,2,13719,1457,1946.0,1746,1
HEFT00077,3,12085,550,1694.0,1136,2
HEFT00077,4,17547,613,1095.0,1709,3
HEFT00077,5,19743,1399,1288.0,1415,2
HEFT00077,6,16606,1397,1306.0,1794,1
HEFT00077,7,12598,560,1803.0,1249,2
HEFT00077,8,19457,1084,1247.0,1655,3
HEFT00078,0,12730,544,1773.0,1862,3
HEFT00078,1,10857,670,1444.0,1182,3
HEFT00078,2,18132,1227,1911.0,1441,3
HEFT00078,3,18989,634,1997.0,1907,2
HEFT00078,4,12181,1020,1846.0,1522,3
HEFT00078,5,18664,1174,1964.0,1684,3
HEFT00078,6,15854,1456,1855.0,1375,1
HEFT00079,0,10073,1381,1693.0,1618,3
HEFT00079,1,19009,558,1375.0,1865,1
HEFT00079,2,12871,1517,1996.0,1053,2
HEFT00079,3,17967,728,1590.0,1453,2
HEFT00079,4,16300,854,1171.0,1856,1
HEFT00079,5,13782,1236,1038.0,1598,1
HEFT00079,6,15865,616,1770.0,1332,1
HEFT00080,0,12972,1317,1242.0,1139,3
HEFT00080,1,19540,1092,1117.0,1125,3
HEFT00080,2,17747,1447,1633.0,1827,2
HEFT00080,3,15711,737,1327.0,1432,1
HEFT00080,4,10780,1516,1446.0,1536,1
HEFT00080,5,10754,787,1454.0,1211,2
HEFT00080,6,17286,1420,1700.0,1435,2
HEFT00080,7,18822,1312,1463.0,1716,3
HEFT00080,8,13417,1417,1732.0,1524,1
HEFT00081,0,13956,739,1967.0,1561,3
HEFT00081,1,18074,1274,1682.0,1027,1
HEFT00081,2,17596,606,1064.0,1266,3
HEFT00081,3,14742,1231,1976.0,1760,3
HEFT00081,4,12827,557,1960.0,1338,3
HEFT00081,5,19432,796,1903.0,1889,2
HEFT00081,6,17535,923,1688.0,1502,1
HEFT00081,7,18006,1399,1373.0,1126,2
HEFT00082,0,13794,1196,1936.0,1866,3
HEFT00082,1,19953,589,1090.0,1516,3
HEFT00082,2,18054,1336,1903.0,1813,3
HEFT00082,3,16458,1054,1883.0,1073,3
HEFT00082,4,12578,819,1023.0,1890,3
HEFT00082,5,11778,1302,1772.0,1334,1
HEFT00082,6,12067,1453,1943.0,1114,3
HEFT00082,7,13167,865,1588.0,1087,2
HEFT00082,8,12020,1008,1279.0,1174,2
HEFT00082,9,12992,1012,1712.0,1551,1
HEFT00083,0,17351,1261,1082.0,1280,2
HEFT00083,1,19182,1466,1681.0,1492,2
HEFT00083,2,17487,914,1168.0,1700,1
HEFT00083,3,19818,1009,1080.0,1416,3
HEFT00083,4,11941,1011,1133.0,1917,1
HEFT00083,5,11684,1252,1404.0,1963,3
HEFT00083,6,15559,1345,1393.0,1647,3
HEFT00083,7,18202,1484,1772.0,1301,1
HEFT00083,8,10911,1256,1496.0,1107,1
HEFT00083,9,15843,1275,1197.0,1805,1
HEFT00083,10,17196,613,1687.0,1500,3
HEFT00084,0,18224,954,1488.0,1511,1
HEFT00084,1,18118,859,1166.0,1479,3
HEFT00084,2,15453,1415,1174.0,1224,2
HEFT00084,3,10452,1337,1110.0,1839,2
HEFT00084,4,14132,1023,1902.0,1946,2
HEFT00084,5,18478,1020,1983.0,1246,3
HEFT00084,6,17948,1432,1028.0,1832,3
HEFT00084,7,12787,813,1037.0,1231,2
HEFT00084,8,10001,677,1309.0,1188,2
HEFT00084,9,18706,1063,1282.0,1840,1
HEFT00084,10,15755,763,1916.0,1205,1
HEFT00085,0,17334,1201,1705.0,1155,1
HEFT00085,1,14618,986,1534.0,1077,3
HEFT00085,2,19003,1389,1421.0,1676,3
HEFT00085,3,17725,1190,1076.0,1516,2
HEFT00085,4,10253,1205,1777.0,1509,3
HEFT00085,5,17088,699,1289.0,1937,1
HEFT00085,6,10897,1289,1602.0,1992,1
HEFT00085,7,18455,1200,1063.0,1419,2
HEFT00085,8,12048,916,1872.0,1821,3
HEFT00086,0,10633,1211,1499.0,1925,1
HEFT00086,1,11137,967,1521.0,1774,3
HEFT00086,2,17741,1068,1225.0,1244,1
HEFT00086,3,13504,1146,1799.0,1174,3
